t,h_true,y_obs
114,-1.00332563,-0.17401722
115,-1.22274216,-0.32052141
116,-1.16871915,0.67221849
117,-1.27302015,-0.34613233
118,-1.5869229,-0.07356998
119,-1.72867737,-0.22306876
120,-1.83834617,-0.0375965
121,-2.07685504,-0.51935004
122,-1.72516232,-0.54338405
123,-1.86792529,0.72189476
124,-1.40612746,-0.58000307
125,-1.44918098,0.1654915
126,-1.1764009,-0.54802712
127,-1.20790055,0.42493
128,-1.13644862,-0.2131039
129,-1.15242861,-0.77272168
130,-1.18358181,-0.14740164
131,-1.14324887,-0.31354193
132,-1.06822063,0.59364448
133,-1.04285961,0.20882762
134,-1.03360052,5.033e-05
135,-1.14082621,0.17891163
136,-1.15119441,1.1771328
137,-0.91065535,0.24471936
138,-1.02779427,-0.66539996
139,-0.848289,0.17192452
140,-0.78081882,-1.18070045
141,-0.64827848,0.32861386
142,-0.82539473,-0.31208461
143,-0.7910753,0.03532684
144,-0.84116872,-0.06795691
145,-0.88373027,0.09807272
146,-0.66649456,-1.8392494
147,-0.71202727,0.12364043
148,-0.67626735,-0.26521227
149,-0.9494876,0.20402776
150,-0.69190044,-1.08528012
151,-0.57156922,-0.24686188
152,-0.5936208,-0.78249828
153,-0.6559806,0.93651313
154,-0.5789029,1.2969369
155,-0.41492403,0.3568212
156,-0.17088613,0.403042
157,-0.07156132,-0.28614705
158,-0.0894326,-0.6669246
159,0.03168796,-1.19712133
160,0.11808988,-0.20224701
161,0.26023425,0.85521108
162,0.49552414,0.9362357
163,0.21485238,-0.07454624
164,0.00260573,-0.51895553
165,0.19921182,0.70430621
166,0.0583959,-1.04375218
167,0.03156134,-1.23591056
168,-0.10005654,0.2967842
169,0.04624196,0.62300061
170,-0.32883873,0.25822052
171,-0.33816853,0.34950458
172,-0.11559202,-1.9473719
173,-0.23078977,0.52650594
174,-0.49110524,1.15459379
175,-0.45111859,0.67563306
176,-0.55322658,0.61711582
177,-0.40635905,0.19005914
178,-0.38900815,0.22255813
179,-0.53683969,-0.11279847
180,-0.57361288,0.28779729
181,-0.43643086,-0.85101244
182,-0.47208929,1.16997273
183,-0.59946484,-0.60930081
184,-0.58113497,0.63146423
185,-0.59198701,0.9884706
186,-0.4757083,0.66362162
187,-0.40831958,1.89781024
188,-0.45684424,-1.59437954
189,-0.23250076,-0.40746797
190,-0.23934367,1.16184848
191,-0.50250229,-0.973565
192,-0.75761892,-0.54372611
193,-0.69894486,0.36958386
194,-0.66653538,-1.01235744
195,-1.02305484,0.03258927
196,-1.0931296,0.26595457
197,-0.98504267,0.08447709
198,-0.87147142,0.14825131
199,-0.79581758,-0.47334545
200,-0.82888476,0.13001166
201,-0.71093895,-0.27595127
202,-0.64143569,-0.19290006
203,-0.66982394,0.5934388
204,-0.97868828,-0.79477426
205,-1.20165544,-1.27965604
206,-1.29734544,0.39175843
207,-1.33115769,0.10165934
208,-1.15784034,0.74417244
209,-1.16347582,0.75655456
210,-1.14475254,-0.472446
211,-1.22957002,-0.80061069
212,-1.355903,-0.18174927
213,-1.22468815,0.93279268
214,-1.42527474,0.19262266
215,-1.56859809,0.21667052
216,-1.57120314,-0.83460999
217,-1.4148225,-0.2982161
218,-1.48246286,-0.50976563
219,-1.56613146,0.19554714
220,-1.57753417,0.14934556
221,-1.50591987,0.62199261
222,-1.54216019,-0.68306629
223,-1.36581203,-0.16745022
224,-1.1876488,0.2117052
225,-1.20168996,0.1912506
226,-0.90298738,1.32236458
227,-0.89549059,0.10237259
228,-0.73718985,-0.58494843
229,-0.6951136,-0.01826982
230,-0.65717396,-0.59997579
231,-0.90589386,-1.3179031
232,-1.07632466,-0.26778387
233,-1.11801366,1.10766355
234,-0.94857425,-0.59873676
235,-0.89796075,-0.25982934
236,-0.9436765,0.11561622
237,-0.85249054,-0.22152092
238,-0.6973381,-0.80578201
239,-0.70546709,1.82555268
240,-0.68084112,1.01969062
241,-0.67668786,0.41406505
242,-0.6949047,-0.12039052
243,-0.82097992,0.28542972
244,-0.9540811,0.41307375
245,-0.79266562,0.24659601
246,-0.84182296,0.29800489
247,-0.89286923,0.59866184
248,-1.17079406,-0.18689461
249,-1.46429204,-0.71893874
250,-1.24578395,0.48016914
251,-1.34633246,-0.76641342
252,-1.78062181,-0.22312018
253,-1.39414091,0.21659072
254,-1.46625252,0.22342675
255,-1.6864087,-0.12794698
256,-1.65089482,-0.03771544
257,-1.51274706,0.16176457
258,-1.39711574,-0.34232889
259,-1.25052996,0.87167611
260,-1.38853649,-0.44335053
261,-1.17651274,-0.1062523
262,-0.96064415,-0.27374557
263,-0.74356799,0.09065989
264,-0.71252663,1.09575357
265,-0.7754164,-0.63865518
266,-0.84943854,0.2958053
267,-1.08881924,0.36985055
268,-1.16697036,0.64042255
269,-1.5211003,-0.36764809
270,-1.75843751,-0.34297371
271,-1.6985345,-0.07666029
272,-1.7155851,-0.06750986
273,-1.66360931,-0.4389785
274,-1.53767359,0.30718011
275,-1.46378769,0.26769102
276,-1.40541136,1.00785686
277,-1.40631314,-0.15201242
278,-1.50715289,-0.48586558
279,-1.67860907,-0.3839701
280,-1.66885285,0.14512534
281,-1.64111596,-0.33697789
282,-1.4868548,0.35157701
283,-1.4961964,-0.30900285
284,-1.39904632,0.09338944
285,-1.60429402,-0.03047999
286,-1.54685982,-0.41514409
287,-1.50197752,-0.68653033
288,-1.28649028,0.65590262
289,-1.31577317,0.18824929
290,-1.66778827,-0.50226487
291,-1.69182146,-0.46012339
292,-1.56390735,0.91378575
293,-1.72348233,-0.35376626
294,-1.66646061,0.70026034
295,-1.82982294,0.09975194
296,-1.53173342,-0.7679537
297,-1.7079418,-0.18033826
298,-1.76479181,0.33624655
299,-1.70559909,-0.75652439
300,-1.60711956,-0.25858281
301,-1.39773889,-0.31200328
302,-1.48129902,0.25801378
303,-1.35242108,0.22787665
304,-1.59468804,0.24239741
305,-1.73199361,0.09896467
306,-1.92359396,0.17058676
307,-2.01687598,-0.46789016
308,-1.87929668,0.09442628
309,-1.9450143,0.54873979
310,-1.98276173,0.011914
311,-1.91294187,-0.23810448
312,-1.81488317,-0.21527756
313,-1.85218242,0.53974133
314,-1.98270485,-0.89532126
315,-1.71158316,1.08332845
316,-1.75102605,-0.80698011
317,-1.77506787,-0.11782932
318,-1.78030441,-0.45714962
319,-1.66996111,0.22757479
320,-1.87402312,0.27394315
321,-1.53989967,0.07962388
322,-1.57430146,-0.06463131
323,-1.4647839,-0.83203364
324,-1.42618178,-0.1913769
325,-1.13622257,-0.09868532
326,-0.88195275,-0.71015549
327,-0.7974053,0.21437834
328,-0.93384022,0.11121498
329,-0.75394719,-0.2220998
330,-1.01512317,-0.01057215
331,-1.15003294,-0.19263374
332,-1.15777012,-0.95605724
333,-1.39538577,0.23994024
334,-1.461932,-1.23477998
335,-1.33034743,0.14004822
336,-1.42751823,-0.6449828
337,-1.2893215,0.18335338
338,-0.92325151,0.2648273
339,-0.8673985,-0.10818718
340,-0.74886016,0.42985927
341,-0.56863561,-0.39230981
342,-0.64688766,-0.34670426
343,-0.53886077,1.14448005
344,-0.62152102,-0.31131215
345,-0.58576381,-0.18336517
346,-0.45538285,-1.7932478
347,-0.59572712,-0.58086794
348,-0.95590871,-0.5975045
349,-1.09450486,-0.11634652
350,-0.92472483,-0.15433774
351,-1.08160515,-0.03316353
352,-0.92178095,-0.61555846
353,-1.06071375,0.32864739
354,-1.09212276,0.37504041
355,-1.09140609,0.40656796
356,-1.24392563,-0.00648812
357,-1.26821136,-0.64492026
358,-1.49468671,0.32478661
359,-1.53248897,-0.47511007
360,-1.53094114,0.5246585
361,-1.85712358,-0.59135423
362,-1.96984284,0.54570439
363,-1.89835951,0.29699657
364,-2.04243286,-0.4032082
365,-1.94398782,0.02204681
366,-1.83335736,-0.07503928
367,-1.76663508,0.06536787
368,-1.62697092,0.35775503
369,-1.85114259,-0.89060365
370,-1.6753465,0.51394786
371,-1.80817956,-0.75306647
372,-1.76907895,0.38434709
373,-1.4763674,0.24678058
374,-1.51783389,-0.41813983
375,-1.50058118,-0.14132156
376,-1.63782393,0.90331915
377,-1.35091395,0.57816222
378,-1.47851409,0.40824481
379,-1.36821471,0.22328215
380,-1.16971847,0.35401882
381,-1.05362479,0.3760831
382,-1.00089733,-1.08132957
383,-0.98832725,-0.33932212
384,-1.18065358,0.93197223
385,-0.91588467,0.85982114
386,-0.88012611,0.86979692
387,-0.88191435,0.13048388
388,-1.04947763,0.23490368
389,-1.03893541,-0.7748658
390,-1.04544692,-0.04727195
391,-0.77444933,0.60711589
392,-0.77949904,0.16848536
393,-0.77948221,-0.13741988
394,-0.94846182,-0.09400918
395,-1.06192271,-0.73523478
396,-0.98338175,0.2392941
397,-1.25188643,-0.06560644
398,-1.09497463,0.61265642
399,-0.93824986,0.02434213
400,-1.06685916,-0.63568663
401,-1.01316265,0.22853594
402,-0.81966811,0.73012292
403,-0.84491236,-0.81549605
404,-0.89743098,0.13869076
405,-0.93082054,-0.36284668
406,-0.8949632,-0.32214792
407,-0.99232422,0.18963209
408,-1.05285338,0.14419539
409,-1.01028717,-0.68755302
410,-1.08216473,0.83695562
411,-1.25401171,-1.1306932
412,-1.52566813,0.01357522
413,-1.5052605,-0.0554095
414,-1.30797421,-1.38978963
415,-1.2393449,0.84024217
416,-1.40133167,-0.18848079
417,-1.50222551,-0.42198933
418,-1.53609804,0.66223509
419,-1.2444071,-0.18031886
420,-0.95131585,0.02210993
421,-0.68972272,-0.06608516
422,-0.67937237,0.26021553
423,-0.21216315,0.76560477
424,-0.34188793,0.81673807
425,-0.41590617,-0.39779721
426,-0.29713878,0.02679392
427,-0.27643823,0.01217984
428,-0.24765762,0.37547058
429,-0.56077293,0.50359013
430,-0.72125265,-1.00562791
431,-0.73837676,0.05805566
432,-0.85025138,0.54323523
433,-1.05607012,-0.24000024
434,-1.14211913,-0.02631839
435,-1.09602592,-0.58266027
436,-0.98450274,0.03851012
437,-1.26875959,-1.03857104
438,-1.2625447,-0.11753574
439,-1.27018138,-0.01482755
440,-1.22824196,0.51278869
441,-1.38806043,-0.58546858
442,-1.5404172,0.13374429
443,-1.33746258,-0.2210003
444,-1.70259368,-0.7273681
445,-1.80647137,-0.22602312
446,-1.84353553,0.01534816
447,-1.86499141,0.41298885
448,-1.94044426,-0.32681751
449,-1.84039961,-0.61186034
450,-1.75673386,0.04260683
451,-1.75614822,0.66005977
452,-1.82679489,0.82650713
453,-1.83580576,-0.50998375
454,-1.80024365,-0.43751534
455,-1.88899972,0.15439593
456,-1.77899241,-0.2556255
457,-1.60751187,0.51815196
458,-1.37384125,0.26636006
459,-1.15811171,-1.05405068
460,-1.20105434,-0.4755718
461,-1.17713883,-0.31722339
462,-1.19674834,1.03464026
463,-1.21630386,0.22525031
464,-1.24465514,0.04063485
465,-1.23641299,0.24160637
466,-1.05452447,0.97232265
467,-1.00644572,0.35642769
468,-1.17888202,-0.04873971
469,-1.03247214,0.51677761
470,-0.99975652,0.53769057
471,-0.92614882,0.7554077
472,-0.88496048,-0.22851519
473,-0.83803548,-1.92743003
474,-0.78546155,-2.46344667
475,-1.05041722,0.2671904
476,-0.9772753,-0.71310539
477,-1.08477235,0.79677685
478,-1.1548337,1.25905555
479,-1.15047666,0.22954923
480,-0.9034312,0.08340337
481,-1.05667986,-0.06469343
482,-1.06032108,-0.80316477
483,-1.09688626,-0.42887477
484,-0.95532601,0.02146736
485,-0.99908559,-0.06443205
486,-0.96564472,0.38059868
487,-1.11663221,-0.595967
488,-0.94743136,-0.25675568
489,-1.16153473,0.2482994
490,-1.08718322,-0.88882359
491,-1.05014547,0.43510648
492,-0.99248314,0.38475952
493,-1.20334901,0.18137472
494,-1.2426415,-0.25937149
495,-1.10477891,0.85143026
496,-0.83248004,0.86714466
497,-0.85396576,0.23014099
498,-0.74332336,0.0835628
499,-0.73140903,0.57144393
500,-0.74835916,-0.50164248
501,-0.81807934,0.42109898
502,-0.82308797,0.2254321
503,-0.72788344,-0.26048921
504,-0.62260972,0.27749862
505,-0.81915339,0.9575912
506,-0.8996905,-1.05549871
507,-1.05945634,-0.60115565
508,-1.04984665,-0.16201016
509,-1.09887605,0.35773792
510,-1.04492846,0.1874345
511,-0.98210634,0.37706304
512,-1.29883615,-0.1903642
513,-1.61690257,0.01606641
514,-1.59909044,0.47000163
515,-1.40297257,0.10054556
516,-1.46593756,0.23311042
517,-1.53114707,-0.00064768
518,-1.36729221,-0.28154801
519,-1.23542165,0.36523944
520,-1.37157778,0.49054338
521,-1.25564549,0.05440321
522,-1.36232464,-0.43478272
523,-1.43210429,0.2651538
524,-1.56248494,0.20030921
525,-1.73187372,-0.08584293
526,-1.69347034,1.04850273
527,-1.87926358,0.57522163
528,-1.83040931,0.16464749
529,-1.78774485,0.18192377
530,-1.78716527,0.59497866
531,-1.83202098,0.45302077
532,-1.90371542,-0.02325861
533,-2.03739834,0.16429283
534,-1.7895075,-0.03161611
535,-1.79535513,-0.45422312
536,-1.80588837,-0.64567802
537,-1.91864342,0.08689368
538,-1.69323213,1.20476864
539,-1.76042293,0.5952121
540,-1.70104737,-0.06461166
541,-1.61512678,0.02761124
542,-1.58011362,-0.18530935
543,-1.77242666,-0.63630348
544,-1.65126713,-0.12118286
545,-1.72114245,0.0035972
546,-1.58026834,0.08184625
547,-1.66126853,0.53438512
548,-1.40455265,0.24503116
549,-1.24636654,0.66598209
550,-1.06946065,0.35975603
551,-0.97762477,0.31873609
552,-1.14289668,0.39570324
553,-1.34198188,-0.40620064
554,-1.13618766,0.47607249
555,-0.90899229,-0.17245013
556,-1.08455984,-0.13979527
557,-1.06671835,0.04633723
558,-0.89466473,-0.23097152
559,-0.84501962,-0.64794606
560,-0.78212144,0.00210243
561,-0.9011298,-0.15028652
562,-0.93172226,-0.16954785
563,-0.66806941,-0.07049019
564,-0.71461174,-1.46728962
565,-0.85730449,-0.17136245
566,-0.96446326,0.85307184
567,-0.99027003,0.7852921
568,-0.98130623,0.02279186
569,-0.99518651,0.00230809
570,-0.73751167,-1.60422945
571,-1.04561818,-0.32202036
572,-1.04207045,0.40985675
573,-0.96984526,-0.23659744
574,-0.81789335,0.68440996
575,-0.79574787,0.64666205
576,-0.76097865,-0.38378873
577,-0.66347676,0.07938428
578,-0.67337148,1.05188509
579,-1.05080116,-0.8383028
580,-1.22733768,-0.19665517
581,-1.25870878,-0.80330774
582,-1.39872122,-0.42775474
583,-1.01814597,1.08294151
584,-1.079364,-0.21194491
585,-1.24936368,-1.02167361
586,-1.2594148,-0.53160331
587,-1.26435994,-0.85040065
588,-1.37072531,0.0748943
589,-1.30467211,0.21743095
590,-1.49360529,0.40501787
591,-1.59882889,0.28452795
592,-1.58245982,-0.62389849
593,-1.61241568,0.16315254
594,-1.50209841,-0.06652813
595,-1.25726862,0.53732529
596,-1.28804868,0.39394499
597,-0.9893382,1.19544989
598,-1.17385803,-0.51518227
599,-0.94590447,-0.65947824
600,-1.14590851,-0.27414406
601,-1.07849725,-0.05971635
602,-1.17372687,-0.37490845
603,-1.27536563,-0.46483463
604,-0.92485973,0.18735807
605,-0.79410008,-0.32880697
606,-0.82817058,-0.47161964
607,-1.23108171,-0.74460534
608,-1.49574206,-1.06498752
609,-1.66017364,0.57769582
610,-1.64703386,0.5664096
611,-1.56597546,0.35765948
612,-1.68413074,0.22572845
613,-1.55429969,-0.26509307
614,-1.45373964,0.27370638
615,-1.52256034,-0.52440934
616,-1.68450278,0.03726137
617,-1.61491622,-0.35345882
618,-1.59248093,0.25732442
619,-1.4819779,0.73969172
620,-1.27597143,-0.52903795
621,-1.01515436,-0.31962249
622,-0.85796881,0.04427086
623,-0.92405215,-1.13885971
624,-0.95206526,-0.96875625
625,-0.80840842,1.01247092
626,-0.93369281,0.18932852
627,-1.04449076,-0.37280905
628,-0.92698183,-0.02424379
629,-0.66822517,-0.34526552
630,-0.52827796,0.07480053
631,-0.42306292,-0.36190429
632,-0.44780486,-0.09232901
633,-0.58977928,0.49299502
634,-0.50454855,0.46121075
635,-0.28886725,1.25442584
636,-0.36644293,0.3105973
637,-0.47898975,0.01838122
638,-0.58458248,1.20946524
639,-0.54249028,-0.16623185
640,-0.37717278,-1.79754947
641,-0.69797299,0.5613867
642,-0.69796353,0.17666632
643,-0.90598404,-0.01477021
644,-0.60827811,0.60806009
645,-0.59457378,-0.3261428
646,-0.6659225,-1.52620472
647,-0.63729876,0.61477651
648,-0.8845227,-0.42501438
649,-1.06160671,-0.56775422
650,-1.05173627,-1.2319693
651,-0.95804361,0.46692952
652,-0.99696769,-1.50690874
653,-1.14652145,0.69496761
654,-1.55882495,-0.15940045
655,-1.71906032,0.34062364
656,-1.7987556,0.16433767
657,-1.68997387,0.78877462
658,-1.69971595,0.16074981
659,-1.90148279,0.46004056
660,-1.98851464,-0.20747799
661,-1.96219637,-0.58592404
662,-1.89901497,0.37434322
663,-1.82810445,-0.63698332
664,-1.82183271,0.29841103
665,-2.07887604,-0.38009462
666,-1.91502822,0.10367502
667,-1.82578164,0.74633108
668,-1.73072527,0.27690433
669,-1.30219168,-0.11149352
670,-1.41280835,0.21108127
671,-1.33457544,-0.2702568
672,-1.47939773,1.10239083
673,-1.41598928,-0.36074656
674,-1.26612006,-0.05795221
675,-1.29606867,0.29410973
676,-1.48096895,0.16816186
677,-1.17959666,0.25846712
678,-1.23064058,-0.27407406
679,-1.28527236,-0.13356004
680,-1.33338517,0.47043779
681,-1.58336498,0.39055658
682,-1.62281701,0.16745224
683,-1.77318068,0.54747351
684,-1.56314002,0.43919199
685,-1.77345903,0.34159871
686,-1.689527,-0.68971918
687,-1.6724858,0.15796575
688,-1.56889993,0.08089689
689,-1.50814822,0.69325458
690,-1.30899869,-1.49001474
691,-1.34734451,-0.08394451
692,-1.59973896,0.0423247
693,-1.39443313,-0.54107759
694,-1.33213999,-0.47048009
695,-1.4229626,0.72527686
696,-1.49165739,0.21924636
697,-1.75759039,0.77338872
698,-1.64446481,-0.08019947
699,-1.53879889,-0.65315696
700,-1.34525531,-0.16535073
701,-1.36550808,-0.24839605
702,-1.44164055,0.33785524
703,-1.3900053,0.32526998
704,-1.37962435,0.2574571
705,-1.43106293,1.09018768
706,-1.6533206,0.55167016
707,-1.42853487,-0.41717486
708,-1.08128778,0.57974681
709,-0.93317829,0.01757377
710,-0.96776687,-0.12907647
711,-0.91015427,0.88891121
712,-0.88565251,-0.58534621
713,-0.76541888,0.62823498
714,-0.67425738,0.53214977
715,-0.72466888,-0.64662248
716,-0.86315783,-1.06220526
717,-0.8317208,-0.0550572
718,-0.90276733,-1.88197993
719,-1.09278193,0.64900687
720,-1.18969238,0.19891946
721,-1.39260442,0.71708674
722,-1.40243044,0.14385488
723,-1.04149055,0.90088314
724,-1.08623068,-0.34462273
725,-1.13247551,0.28944736
726,-1.14428487,-0.22304225
727,-0.91987913,-0.07210319
728,-0.57734439,0.06798957
729,-0.3222263,0.30414877
730,-0.19811543,-0.6562733
731,-0.35023585,0.38585789
732,-0.22144579,0.03603709
733,-0.43776141,-1.09285545
734,-0.66869903,-1.26527019
735,-0.66221526,0.8079254
736,-0.67436117,-1.61343869
737,-0.7127444,-0.1139938
738,-0.40696226,-1.18885784
739,-0.48335503,1.33962212
740,-0.43135763,0.45402703
741,-0.43122923,0.26594963
742,-0.33165093,-0.68579202
743,-0.21999261,-1.22998751
744,-0.19413764,0.16220627
745,-0.31075747,-0.01942066
746,-0.42481577,-0.86661499
747,-0.49511351,-0.86189045
748,-0.46184048,-0.91294106
749,-0.37118872,-0.98134887
750,-0.47499729,-0.49256097
751,-0.29197536,0.28542612
752,-0.34497617,0.41970648
753,-0.68070574,-0.03069038
754,-0.39065744,0.1088635
755,-0.39875074,0.44904996
756,-0.28244743,-1.73439042
757,-0.55632298,0.15922721
758,-0.67686478,0.93532572
759,-0.73383499,-1.34037213
760,-0.93202203,-1.72542272
761,-0.9691802,-0.11603513
762,-1.0337742,0.64341553
763,-0.852983,-0.11122878
764,-1.17759756,0.3425873
765,-1.0889656,0.17949097
766,-0.93907467,-0.72835711
767,-0.63958912,-0.69683068
768,-0.53801801,-1.28936375
769,-0.69141717,1.07316244
770,-0.73980963,0.5802186
771,-0.71207203,-0.07351767
772,-0.51613232,-0.18282938
773,-0.79775907,-0.53903156
774,-0.72114754,0.27577906
775,-0.96457185,-0.44718771
776,-1.0528929,-0.21588301
777,-1.25769315,-0.33505153
778,-1.35925393,0.3910177
779,-1.22710811,-0.07894516
780,-1.27910084,0.07381421
781,-1.39321408,-0.57143553
782,-1.52245084,-0.29651722
783,-1.68129838,0.06991741
784,-1.55140208,-0.73066978
785,-1.53109071,-0.10228779
786,-1.46393169,-0.00622306
787,-1.66805363,-0.54825179
788,-1.64359848,0.45229317
789,-1.95641863,0.12998758
790,-1.74928277,-0.06381356
791,-1.64427392,-0.30899287
792,-1.64285063,-0.71288481
793,-1.97521661,0.35114863
794,-2.09370935,-0.15990856
795,-2.2688644,-0.45345285
796,-2.25687413,-0.23604633
797,-2.16247225,0.15349017
798,-2.07947064,0.08435689
799,-1.81042129,-0.43179543
800,-1.79434888,0.46182037
801,-1.58083744,-0.6449899
802,-1.61026564,0.6071189
803,-1.5157458,0.09151241
804,-1.53292613,-0.17833449
805,-1.47370549,-0.12079077
806,-1.46588112,0.03776621
807,-1.55361541,0.24471125
808,-1.09987025,-1.02529862
809,-1.04827227,-0.45008317
810,-0.96021371,0.02880591
811,-0.84712908,0.76961464
812,-0.82285204,0.7502162
813,-1.17981117,0.88171435
814,-1.11815751,0.61624134
815,-1.29759415,-0.43422193
816,-1.26677558,-0.00904355
817,-1.21631202,0.59035987
818,-1.47460571,0.46587748
819,-1.45912525,-0.09824727
820,-1.66601878,0.21869488
821,-2.00815439,0.23756027
822,-2.20172564,0.01777925
823,-2.18354919,0.39252083
824,-2.17484099,-0.23398362
825,-2.21558617,0.42041672
826,-2.09867404,-0.13503598
827,-2.10118078,-0.54809074
828,-2.00987422,-0.64421161
829,-1.86680853,0.05057566
830,-1.4827615,-0.52416574
831,-1.48367797,0.85641171
832,-1.29045919,-0.36519253
833,-1.2481503,0.00107117
834,-1.19841241,-0.38374845
835,-1.20585809,-0.87446464
836,-1.17941383,0.24953186
837,-1.20814433,-0.88275666
838,-1.05362022,0.21524677
839,-1.16091388,-0.15703596
840,-1.38118687,-0.51401605
841,-1.45042297,0.59482857
842,-1.53283579,0.29749103
843,-1.59759815,0.1115439
844,-1.60087953,0.39211714
845,-1.66307484,-0.68464642
846,-1.85047495,-0.21085606
847,-2.0123197,0.14998185
848,-2.05181533,0.85122746
849,-2.28091806,0.06509588
850,-2.41168347,-0.14774402
851,-2.34812005,-0.71879415
852,-2.27215253,0.61097862
853,-2.3020037,0.08218234
854,-2.10920533,-0.05711005
855,-2.1630732,-0.77164328
856,-2.0320324,-0.04097085
857,-2.152974,0.04314297
858,-2.20593684,-0.17537641
859,-2.07881506,-0.47333789
860,-1.88935331,-0.54342774
861,-1.96207793,0.72095362
862,-1.76411237,0.04040131
863,-1.88226853,-0.20651412
864,-1.84480918,0.01491781
865,-1.83309555,-0.01232984
866,-1.84025895,-0.57458159
867,-1.89252779,0.35504666
868,-2.0710021,-0.06730139
869,-2.16183513,0.03777943
870,-2.18527505,0.49541572
871,-2.07372932,-0.46511899
872,-1.94083324,-0.29353506
873,-1.9991577,0.1154962
874,-2.04294508,0.32148554
875,-2.12783324,-0.2135994
876,-2.19245388,-0.18899654
877,-1.99180153,0.23227142
878,-1.70555589,0.96653628
879,-1.83899677,0.02807744
880,-1.99025691,-0.28746221
881,-2.05506158,-0.37834471
882,-2.18119282,-0.04848186
883,-2.3282648,0.26290648
884,-2.42607989,0.83526281
885,-2.45100516,0.02114511
886,-2.60177618,0.4645515
887,-2.38579779,0.09006665
888,-2.54624424,0.0589775
889,-2.66807157,0.38520198
890,-2.49665022,0.02738958
891,-2.81720706,-0.24042992
892,-2.65952668,0.32085608
893,-2.44336541,-0.46922004
894,-2.3548316,0.31285367
895,-2.56293698,-0.00219453
896,-2.47497251,-0.08725559
897,-2.70854762,-0.08407398
898,-2.706387,-0.03826394
899,-2.73971611,-0.11258845
900,-2.69348057,0.11507655
901,-2.68834016,-0.10681843
902,-2.62383685,-0.51730827
903,-2.50356648,-0.00016104
