t,x_true,y_obs
138,0.23109448,-0.88131699
139,0.81511124,1.07786046
140,1.01442738,-0.73015861
141,1.42742525,1.88184559
142,0.80083864,0.32931384
143,0.89265531,0.94512211
144,0.70193695,0.59844869
145,0.54085142,0.69341393
146,1.24955483,-1.31710361
147,1.06865196,1.24516438
148,1.16321636,0.79130178
149,0.22669465,0.55469013
150,1.07903502,-0.45482638
151,1.45699728,1.12847205
152,1.35348524,0.30058673
153,1.11858289,2.41862749
154,1.35398137,3.08629297
155,1.87498825,2.31407492
156,2.6532061,3.09219925
157,2.93453988,2.63796893
158,2.82108579,2.12366197
159,3.17482347,1.99651985
160,3.40725747,3.21660641
161,3.82251814,4.57338713
162,4.54171531,5.27249001
163,3.52860942,3.46165625
164,2.76617535,2.24789551
165,3.3834808,4.02101461
166,2.86484155,1.85112418
167,2.73799052,1.52143037
168,2.26552085,2.57753032
169,2.72990083,3.3386623
170,1.44776103,1.75212776
171,1.41138977,1.82528005
172,2.14892512,0.08568684
173,1.74592715,2.33683347
174,0.86783359,2.34378264
175,1.00862022,1.85520421
176,0.67271738,1.48648107
177,1.17331729,1.40619531
178,1.23185187,1.50219511
179,0.73858664,0.59105796
180,0.62539605,1.00878991
181,1.09403837,0.03550228
182,0.97683193,2.45828748
183,0.55619622,-0.2660538
184,0.62953951,1.4739247
185,0.60377556,1.93273615
186,1.00198377,1.84380384
187,1.22894283,3.55659593
188,1.06491485,-0.93860744
189,1.81379629,1.35609686
190,1.77704669,3.08659738
191,0.88706459,-0.36458262
192,0.04207239,-0.7520639
193,0.25978707,0.78397492
194,0.38493481,-1.02783107
195,-0.78936365,-0.73501006
196,-0.98578348,-0.52639771
197,-0.5855175,-0.44727606
198,-0.17617508,0.0530363
199,0.09766603,-0.60700723
200,0.00297702,0.19975312
201,0.41309241,0.01935123
202,0.65302141,0.38718262
203,0.56159926,1.3911183
204,-0.46301089,-1.75948322
205,-1.18095304,-3.51456916
206,-1.46103761,-0.71160371
207,-1.53042776,-1.33263768
208,-0.90929763,0.41838851
209,-0.89840171,0.45518418
210,-0.8074183,-1.64481652
211,-1.06424756,-2.54478407
212,-1.45510211,-1.8131188
213,-0.98055449,0.74021534
214,-1.62261753,-1.22979006
215,-2.06175862,-1.58706153
216,-2.02421401,-3.85511984
217,-1.45885482,-2.06385553
218,-1.6528622,-2.72261461
219,-1.89736072,-1.46947028
220,-1.89711486,-1.56845286
221,-1.62129819,-0.30063653
222,-1.71162635,-3.18848417
223,-1.09243383,-1.423922
224,-0.48051591,-0.0971388
225,-0.52205888,-0.17328299
226,0.47955034,2.55653087
227,0.49026339,0.65045398
228,1.0038703,0.15820927
229,1.12021197,1.09434912
230,1.22115548,0.38778667
231,0.36531396,-1.70766948
232,-0.2116438,-0.67031908
233,-0.3476574,1.58957376
234,0.22272215,-0.73936896
235,0.38544027,-0.02163796
236,0.22398634,0.40931199
237,0.52237258,0.1831141
238,1.02817972,-0.11375851
239,0.97994026,3.57761399
240,1.04248312,2.47569763
241,1.03611906,1.61689615
242,0.95592151,0.78551392
243,0.51838423,0.94868559
244,0.06669643,0.73228166
245,0.60600511,0.97253651
246,0.43258048,0.88654606
247,0.25661493,1.19216206
248,-0.67191886,-1.00752622
249,-1.63372891,-3.12878974
250,-0.87011135,0.02507363
251,-1.1863459,-2.68884936
252,-2.60929302,-3.15278853
253,-1.26862087,-0.83373659
254,-1.48497597,-1.01989576
255,-2.19120634,-2.48852971
256,-2.03190729,-2.11800794
257,-1.53490887,-1.19026364
258,-1.12400041,-1.81237269
259,-0.61889269,1.01004426
260,-1.07302281,-1.96071847
261,-0.3514795,-0.54282349
262,0.36800517,-0.07453055
263,1.0771277,1.20861351
264,1.15238572,2.71710375
265,0.9138812,-0.0272409
266,0.64390503,1.09623899
267,-0.17116975,0.46630115
268,-0.43199692,0.71581574
269,-1.60752723,-2.39409301
270,-2.37038494,-3.19661441
271,-2.12803275,-2.30725937
272,-2.14831989,-2.30750477
273,-1.93920978,-2.94774582
274,-1.48882447,-0.8261585
275,-1.22186428,-0.66533083
276,-1.01256206,1.02251124
277,-1.00548105,-1.31256426
278,-1.33197078,-2.36423345
279,-1.88760814,-2.77640545
280,-1.82856792,-1.49427279
281,-1.7115685,-2.47710377
282,-1.17589779,-0.43648512
283,-1.19692705,-1.8498432
284,-0.86286674,-0.67489315
285,-1.54378703,-1.61176729
286,-1.33557978,-2.23527456
287,-1.17387909,-2.62870158
288,-0.44709209,0.8008579
289,-0.55099615,-0.18754181
290,-1.72840732,-2.88475498
291,-1.78887642,-2.86100944
292,-1.34223436,0.65506217
293,-1.86343,-2.7008934
294,-1.65253431,-0.04141817
295,-2.18109475,-1.93205863
296,-1.16139059,-2.81314974
297,-1.74385567,-2.16746227
298,-1.91695709,-1.1043558
299,-1.70027937,-3.47524143
300,-1.3575602,-1.93509909
301,-0.65245859,-1.28004612
302,-0.9381433,-0.39701169
303,-0.50977289,-0.06167353
304,-1.32708291,-0.78904847
305,-1.77788279,-1.54260667
306,-2.40085586,-1.95453372
307,-2.68411252,-3.96674717
308,-2.19299683,-1.95135231
309,-2.39033539,-0.93915654
310,-2.49114483,-2.45903716
311,-2.23213086,-2.8517968
312,-1.88495617,-2.41840852
313,-1.99652753,-0.63388489
314,-2.41699418,-4.82977451
315,-1.49067597,1.05865198
316,-1.6187768,-3.55561485
317,-1.69307995,-1.9793029
318,-1.70338788,-2.81677592
319,-1.32843791,-0.80393054
320,-2.00921882,-1.31002209
321,-0.88241539,-0.71045506
322,-1.0069572,-1.14896042
323,-0.64898096,-2.37965257
324,-0.53433656,-0.92480051
325,0.41629277,0.24212004
326,1.22942194,0.12568124
327,1.46158043,1.78098069
328,0.95397778,1.1313739
329,1.51253831,1.18874661
330,0.59093007,0.57336724
331,0.11017202,-0.23216892
332,0.06386953,-1.64178268
333,-0.74715311,-0.26508628
334,-0.9711548,-3.53589915
335,-0.53017505,-0.25780529
336,-0.86060371,-2.17743392
337,-0.39966957,-0.05031895
338,0.81161505,1.23180365
339,0.96488587,0.79795794
340,1.32502951,1.95011471
341,1.88464054,1.36331762
342,1.57270477,1.0936016
343,1.88947039,3.38784483
344,1.56557663,1.1408029
345,1.64433641,1.39857491
346,2.03814641,-0.21363088
347,1.52288657,0.74047024
348,0.28656424,-0.67707421
349,-0.18534203,-0.38644669
350,0.38040801,0.13534736
351,-0.15401925,-0.21097379
352,0.37826853,-0.59769029
353,-0.09593234,0.46261662
354,-0.20190378,0.44558091
355,-0.19863199,0.50303166
356,-0.70623945,-0.7183241
357,-0.77627248,-1.99216341
358,-1.51919783,-0.8334488
359,-1.61871413,-2.64099441
360,-1.58586789,-0.45784904
361,-2.64694342,-4.14358211
362,-2.97603947,-1.5148606
363,-2.68594401,-1.91862677
364,-3.12172727,-4.24126314
365,-2.74173404,-2.68345971
366,-2.33027793,-2.51794892
367,-2.07469217,-1.91657309
368,-1.58207387,-0.77506559
369,-2.31290617,-4.56017473
370,-1.69638817,-0.50866307
371,-2.12188027,-3.98171567
372,-1.96626884,-1.03543062
373,-0.96915814,-0.45286057
374,-1.10655858,-1.9996892
375,-1.04550501,-1.34476971
376,-1.50076371,0.54799194
377,-0.53314132,0.60290736
378,-0.96690946,-0.11189013
379,-0.59875078,-0.15620515
380,0.05601939,0.69139054
381,0.42322554,1.06013183
382,0.57245997,-1.21115116
383,0.58564751,0.02945555
384,-0.08355534,1.59826128
385,0.78512009,2.14434069
386,0.8734708,2.22409592
387,0.83582385,1.03862112
388,0.24729697,0.64428827
389,0.26512509,-1.03752703
390,0.22627028,0.14654071
391,1.11373735,2.00795067
392,1.0637732,1.31256051
393,1.03269073,0.82977674
394,0.43984259,0.28879071
395,0.04480133,-1.20551421
396,0.29817217,0.68943683
397,-0.61009019,-0.73277483
398,-0.08173499,0.97748875
399,0.43527018,0.47418339
400,-0.00901599,-1.09271482
401,0.16373726,0.5430173
402,0.79921595,1.8991956
403,0.69314083,-0.55106505
404,0.49893049,0.71616168
405,0.37294234,-0.20495177
406,0.48073763,-0.02322011
407,0.14266771,0.45412054
408,-0.06546197,0.17864242
409,0.07441314,-1.06501586
410,-0.16992808,1.26784886
411,-0.74247143,-2.85912588
412,-1.63627043,-1.60716049
413,-1.53899827,-1.65660913
414,-0.85495345,-3.52778788
415,-0.61423884,0.94719937
416,-1.14741728,-1.52722379
417,-1.46649237,-2.36083842
418,-1.55629876,-0.12881347
419,-0.55979048,-0.8957297
420,0.42072915,0.45630563
421,1.27653821,1.18323956
422,1.27824021,1.64371468
423,2.80375504,3.65504061
424,2.30993502,3.27893289
425,2.013522,1.52377182
426,2.36714658,2.39823217
427,2.38807721,2.40206243
428,2.43696491,2.86193081
429,1.3466332,2.01320587
430,0.78829183,-0.6540073
431,0.71967162,0.80365262
432,0.33693495,1.16796681
433,-0.35099938,-0.75794313
434,-0.62588648,-0.67247375
435,-0.45516001,-1.46305296
436,-0.07026067,-0.0072583
437,-1.01272076,-2.9713122
438,-0.96824437,-1.18921169
439,-0.97154221,-0.99952467
440,-0.81018518,0.13746443
441,-1.32522837,-2.49719996
442,-1.80562888,-1.51671221
443,-1.09287375,-1.52421319
444,-2.28907998,-3.99307285
445,-2.59114434,-3.14887323
446,-2.66578144,-2.62720032
447,-2.68836553,-1.63902592
448,-2.89195591,-3.75427387
449,-2.50792035,-4.04356242
450,-2.18767848,-2.08512529
451,-2.1520158,-0.56373969
452,-2.35551873,-0.29522056
453,-2.35045852,-3.62747496
454,-2.1979758,-3.274221
455,-2.46395494,-2.06692164
456,-2.06296614,-2.68513384
457,-1.46611526,-0.30860751
458,-0.67465862,-0.14524522
459,0.04078866,-1.84000976
460,-0.12020404,-0.9872093
461,-0.05458091,-0.62603013
462,-0.13493079,1.74724409
463,-0.21304414,0.20074817
464,-0.3185266,-0.24281331
465,-0.29959193,0.14873213
466,0.29804143,1.94543543
467,0.4379494,1.02749629
468,-0.15938032,-0.24725707
469,0.31873343,1.18470206
470,0.40860162,1.29499558
471,0.63355489,1.83386115
472,0.74655673,0.39085841
473,0.87714952,-2.05344486
474,1.02473491,-2.62367791
475,0.11176646,0.56353506
476,0.34494281,-0.81748597
477,-0.02835535,1.34218564
478,-0.26895265,1.97396766
479,-0.25646495,0.15157123
480,0.5647955,0.69582262
481,0.03538374,-0.07434372
482,0.01580918,-1.34893247
483,-0.11289731,-0.85508941
484,0.35492643,0.3895383
485,0.19578223,0.0896003
486,0.29755413,0.91436833
487,-0.21717969,-1.25876732
488,0.3460189,-0.06631797
489,-0.37970309,0.06410962
490,-0.12903303,-1.65974829
491,-0.00784052,0.72774257
492,0.17974473,0.81172621
493,-0.53137706,-0.2003369
494,-0.65611808,-1.13890824
495,-0.18803437,1.29124014
496,0.71855237,2.03336024
497,0.62775766,0.98047783
498,0.97978122,1.10095917
499,0.99617425,1.81992738
