t,output_gap_obs,inflation_obs,interest_rate_obs,output_gap_true,inflation_true,interest_rate_true
85,-0.196003,-0.451337,-0.592484,-0.306044,-0.278285,-0.583788
86,-0.338319,-0.131211,-0.568888,-0.197706,-0.154978,-0.602869
87,-0.215191,-0.119013,-0.622632,-0.191317,-0.272374,-0.668654
88,-0.523007,-0.056056,-0.589328,-0.198824,-0.172617,-0.688763
89,-0.600657,-0.038866,-0.573611,-0.131788,-0.024573,-0.581883
90,0.10512,-0.102198,-0.357173,-0.083434,-0.032001,-0.49819
91,-0.344245,-0.122927,-0.416187,-0.147246,-0.028525,-0.447128
92,-0.01431,0.236285,-0.177577,0.076795,0.166112,-0.239995
93,-0.284478,-0.001077,-0.232374,-0.00719,-0.030342,-0.149048
94,-0.26219,0.133195,0.032751,0.019804,0.038784,-0.183115
95,0.0758,0.117786,-0.083915,0.110567,0.098004,-0.130898
96,-0.093557,0.213896,0.025217,0.052358,0.091081,-0.046082
97,0.093499,0.054752,-0.186421,0.017905,0.040563,-0.025602
98,0.121879,0.294546,-0.136389,0.031371,0.176842,-0.054119
99,0.068719,0.23806,0.149921,0.004549,0.107437,0.026133
100,0.014623,-0.252562,-0.006566,-0.033097,-0.131883,-0.035255
101,0.458501,-0.447665,-0.236023,0.142947,-0.176443,-0.044645
102,-0.117719,0.16591,0.001821,0.0958,-0.065614,-0.102008
103,0.041787,0.151529,-0.039782,0.052774,0.11303,0.014596
104,0.447266,-0.016698,0.339146,0.220728,0.240474,0.198014
105,0.625957,0.168978,0.403663,0.373049,0.276051,0.412446
106,0.021734,0.352287,0.495027,0.306087,0.236506,0.474556
107,0.311965,0.070802,0.667922,0.374437,0.112754,0.550027
108,0.589552,0.192071,0.585841,0.317928,0.26888,0.67559
109,0.569815,0.55811,0.630214,0.4682,0.347977,0.729499
110,0.453737,0.0241,0.711569,0.414684,0.181193,0.731218
111,0.480802,0.191929,0.893439,0.524339,0.311652,0.810722
112,0.293773,0.301972,0.6639,0.370533,0.270264,0.796988
113,0.32401,0.304811,0.704947,0.266366,0.246243,0.871751
114,0.250131,0.058625,0.847199,0.300605,-0.015826,0.764827
115,0.269232,0.253486,0.746324,0.277748,0.1168,0.806622
116,0.059369,0.042172,0.650542,0.04365,0.012385,0.689765
117,-0.254489,0.191532,0.419836,-0.118875,0.118125,0.605517
118,0.084097,-0.043612,0.450373,-0.022329,-0.004731,0.518271
119,0.6696,0.056353,0.466404,0.086751,0.046948,0.467161
120,-0.250287,-0.015197,0.464748,0.10511,-0.031328,0.371711
121,0.14415,0.078744,0.309346,0.079347,0.04648,0.386469
122,-0.186479,0.116288,0.542301,-0.034441,0.000407,0.376563
123,0.010125,-0.030357,0.165025,-0.105356,-0.113629,0.23348
124,-0.00107,-0.052154,0.153454,-0.010382,-0.058786,0.221763
125,0.228707,-0.043679,0.412964,0.076336,0.07769,0.259228
126,0.536569,0.11892,0.24303,0.301467,0.108769,0.221884
127,0.47023,0.133936,0.283117,0.431746,0.138138,0.33832
128,0.745937,0.093678,0.328816,0.519527,0.064701,0.344329
129,-0.161413,0.37615,0.516827,0.307446,0.045171,0.38152
130,0.647211,0.070383,0.521496,0.32912,0.148949,0.374876
131,0.14021,0.162813,0.257407,0.065198,0.099469,0.339086
132,0.320185,0.311584,0.370519,0.104617,0.151315,0.374762
133,-0.073807,0.164329,0.444177,0.170168,0.149629,0.435161
134,-0.08347,0.432335,0.31671,0.082684,0.081659,0.415334
135,0.185656,-0.00831,0.408249,0.156469,0.048396,0.413817
136,0.11083,0.095328,0.419267,0.114238,0.046715,0.418735
137,-0.039878,-0.255058,0.287982,-0.096492,-0.135237,0.173961
138,-0.103301,-0.284235,0.117589,-0.320204,-0.231506,-0.003153
139,-0.669716,-0.153636,-0.139805,-0.316672,-0.190976,-0.106884
140,0.042527,-0.021127,-0.143707,-0.152236,-0.148073,-0.122312
141,-0.126144,-0.148252,-0.184758,-0.1278,-0.196116,-0.251187
142,-0.30383,-0.076926,-0.462881,-0.263074,-0.265794,-0.404362
143,-0.450631,-0.021987,-0.368888,-0.156408,-0.007742,-0.427752
144,-0.000875,-0.188196,-0.416739,-0.101484,-0.138371,-0.407949
145,-0.587266,0.121988,-0.539578,-0.104445,-0.283609,-0.442638
146,-0.024821,-0.182409,-0.654954,-0.1545,-0.241545,-0.55927
147,-0.5029,-0.247249,-0.422732,-0.204479,-0.139327,-0.567438
148,-0.140473,-0.18296,-0.473202,-0.151164,-0.078821,-0.45756
149,-0.19416,-0.379596,-0.301814,-0.170327,-0.238194,-0.465849
150,0.047465,0.076915,-0.473948,-0.186443,-0.063571,-0.422585
151,-0.216643,-0.105838,-0.27317,-0.180912,-0.051181,-0.30229
152,-0.093951,0.013915,0.011826,0.044877,-0.005189,-0.227442
153,0.046693,-0.052283,-0.262814,0.148013,-0.042757,-0.157076
154,0.385202,0.158924,-0.306385,0.130626,0.0492,-0.116604
155,0.065866,-0.322128,-0.12633,-0.041394,-0.195116,-0.254989
156,-0.160248,-0.31315,-0.282342,-0.083122,-0.151814,-0.199661
157,-0.0115,-0.127735,-0.217946,0.03579,-0.161379,-0.215875
158,-0.321932,-0.021531,-0.279563,-0.008497,-0.111675,-0.220971
159,0.131965,-0.023603,-0.122655,0.05427,-0.073482,-0.149471
160,-0.417314,-0.177131,-0.125673,-0.065351,-0.055713,-0.03062
161,0.113851,0.206135,0.007041,-0.036508,0.104513,0.025035
162,0.050945,-0.057435,0.088605,0.025221,0.054144,0.043624
163,0.422141,-0.024703,-0.092795,-0.05525,0.053527,0.008036
164,-0.203193,-0.001251,0.028285,0.016834,0.140342,0.098293
165,-0.034007,0.306699,0.08153,-0.013475,0.111525,0.116269
166,0.441085,-0.007936,-0.101836,0.081428,-0.10295,0.041045
167,0.112482,-0.147971,-0.085746,-0.125796,-0.23872,-0.04349
168,-0.162941,-0.011336,-0.201986,-0.023698,-0.198417,-0.213865
169,-0.272988,0.173005,-0.278029,-0.317781,-0.248893,-0.238074
170,-0.242115,-0.509542,-0.369425,-0.242515,-0.253158,-0.342287
171,-0.317968,-0.379376,-0.480027,-0.374359,-0.268619,-0.478037
172,-0.485269,-0.251315,-0.579323,-0.345533,-0.158889,-0.513749
173,-0.262011,-0.349149,-0.456594,-0.244147,-0.221526,-0.5257
174,-0.376449,-0.386467,-0.44513,-0.056839,-0.22483,-0.588728
175,0.109448,-0.15177,-0.484155,0.082423,-0.106822,-0.437717
176,0.119932,-0.081419,-0.238558,0.029928,0.101072,-0.287078
177,0.007274,0.273091,-0.149744,0.052758,0.222835,-0.125782
178,-0.36964,0.060327,-0.0245,-0.04663,0.052572,-0.061049
179,-0.000837,0.102624,0.056327,-0.198543,0.03047,-0.100251
180,0.008997,-0.167204,-0.203127,-0.063908,-0.243363,-0.253993
181,-0.371367,-0.181703,-0.549462,-0.226164,-0.272154,-0.37212
182,-0.27759,-0.283867,-0.418478,-0.22147,-0.227856,-0.463877
183,-0.479118,0.049695,-0.382508,-0.178984,-0.268477,-0.505794
184,-0.299901,-0.089016,-0.480022,-0.094819,-0.12418,-0.457863
185,-0.163258,-0.154664,-0.219866,-0.055695,0.124709,-0.31943
186,0.16485,-0.187605,-0.41096,-0.080834,-0.037249,-0.341948
187,-0.325099,-0.427739,-0.548418,-0.197198,-0.166663,-0.399864
188,-0.016006,-0.118832,-0.433577,-0.144049,-0.121432,-0.447694
189,-0.147289,-0.016933,-0.549041,-0.039625,0.001338,-0.373394
190,-0.051365,-0.045039,-0.320872,-0.100954,0.025225,-0.296894
191,-0.263951,0.236752,-0.175307,-0.235672,-0.064887,-0.303992
192,-0.127463,-0.021734,-0.619366,-0.302074,-0.104081,-0.42839
193,-0.24521,0.140195,-0.495297,-0.138248,0.03128,-0.367347
194,-0.402583,-0.391437,-0.598402,-0.088078,-0.251776,-0.495199
195,-0.385038,-0.415567,-0.521348,-0.108648,-0.265695,-0.515016
196,-0.004429,-0.214404,-0.580031,0.101947,-0.219925,-0.54346
197,-0.134515,0.111689,-0.290044,0.115297,0.085738,-0.429958
198,0.210713,-0.014847,-0.173585,0.128671,0.2636,-0.26902
199,-0.105457,0.058702,-0.151305,-0.012303,0.085748,-0.200832
200,0.545108,0.090207,-0.176765,0.070187,0.088096,-0.191328
201,-0.232833,-0.011565,-0.016722,0.114709,0.020707,-0.056045
202,0.081206,-0.163173,-0.116463,0.04048,-0.041164,-0.030265
203,-0.112866,-0.022885,0.028797,0.112724,0.058045,-0.056925
204,0.056575,-0.05436,-0.127845,0.155255,-0.027832,-0.016641
205,0.02564,0.043543,0.044328,-0.002644,0.029923,-0.039209
206,-0.595717,0.13787,0.096776,-0.130643,0.047151,-0.021838
207,-0.131611,0.277129,0.003288,-0.178976,0.115001,-0.017798
208,0.222714,-0.007121,-0.075901,-0.157868,0.037031,-0.05828
209,-0.185655,-0.131743,-0.077828,-0.094967,-0.06332,-0.117859
210,0.102755,-0.054832,-0.55116,0.050794,-0.12048,-0.265008
211,0.411792,0.348362,-0.032315,0.206808,0.256735,-0.062541
212,-0.040347,0.029922,-0.029664,-0.007557,0.095052,-0.018329
213,-0.141985,0.047008,-0.031682,-0.025793,-0.071551,-0.026619
214,-0.425911,-0.029507,0.001943,0.029237,-0.176445,-0.06871
215,0.35978,0.192201,-0.033771,0.231582,-0.001552,-0.026294
216,0.171589,0.385765,-0.123237,0.194223,0.119017,-0.009216
217,-0.011297,-0.052129,0.148043,0.19124,0.077834,0.162183
218,0.180018,0.2542,0.238313,0.154699,0.252115,0.231557
219,0.081219,0.219076,0.30157,0.197955,0.217384,0.290076
220,0.090214,0.274003,0.4156,0.195899,0.288714,0.399408
221,0.128371,0.047345,0.452132,0.007113,0.144734,0.348195
222,-0.295509,-0.166976,0.107033,-0.027833,0.055859,0.215636
223,0.022848,0.034053,0.136696,-0.186615,0.020151,0.119126
224,-0.703965,-0.154022,0.133642,-0.424428,-0.038768,0.004649
225,-0.585913,-0.27418,-0.362166,-0.453373,-0.287079,-0.188704
226,0.011489,-0.136316,-0.195214,-0.3731,-0.017209,-0.213179
227,-0.071549,-0.279352,-0.304848,-0.29702,-0.114404,-0.24631
228,-0.185289,0.041673,-0.297883,-0.20481,0.006528,-0.260812
229,-0.415975,-0.090369,-0.361668,-0.227869,-0.113007,-0.271187
230,-0.161099,-0.032069,-0.325673,-0.055245,-0.118961,-0.308718
231,-0.003658,0.238329,-0.063684,-0.018313,-0.089551,-0.24781
232,-0.234155,-0.15835,-0.512115,-0.241659,-0.199944,-0.385672
233,-0.467703,-0.258432,-0.726759,-0.449529,-0.331194,-0.609798
234,-0.430853,-0.343341,-0.806076,-0.424686,-0.181707,-0.675882
235,-0.528174,-0.435175,-0.533634,-0.485299,-0.242138,-0.706376
236,-0.822761,-0.135012,-0.876499,-0.534365,-0.372436,-0.830265
237,-0.606384,-0.410916,-0.904272,-0.503082,-0.272394,-0.901708
238,-0.199683,-0.511079,-1.016014,-0.382608,-0.354487,-0.975736
239,-0.639083,-0.414322,-1.230517,-0.365416,-0.408458,-1.136074
240,-0.298211,-0.330943,-1.194255,-0.260299,-0.317414,-1.17074
241,-0.407838,-0.254447,-0.913118,-0.243887,-0.119071,-1.158942
242,-0.346892,-0.308319,-0.920007,-0.369162,-0.262573,-1.059214
243,-0.381714,0.038655,-1.123346,-0.303988,-0.145751,-1.038052
244,-0.090064,-0.264656,-0.911757,-0.385542,-0.143757,-0.976515
245,-0.190798,-0.387331,-0.99802,-0.292114,-0.17828,-0.914867
246,-0.509452,0.055899,-0.961344,-0.247091,-0.08549,-0.783707
247,-0.250123,-0.308938,-0.743192,-0.384369,-0.382783,-0.845144
248,-0.38209,-0.454679,-0.87933,-0.22716,-0.361602,-0.995339
249,-0.309939,-0.383404,-0.713734,-0.19454,-0.146079,-0.818339
250,-0.060693,-0.258942,-0.84463,-0.123456,-0.147248,-0.797643
251,-0.208315,-0.144746,-0.795809,-0.109966,-0.13654,-0.779131
252,0.284478,0.316869,-0.399335,0.105906,0.142019,-0.474312
253,-0.151671,0.001993,-0.228932,0.003231,0.157481,-0.268082
254,-0.076627,0.205177,-0.1037,0.047162,0.217855,-0.064337
255,-0.014827,0.308824,-0.069271,0.116447,0.207553,0.092636
256,-0.186686,-0.267119,0.088011,-0.073558,0.090071,0.076623
257,0.025652,0.310029,0.294292,-0.194187,0.154961,0.186391
258,0.086913,-0.086019,0.13479,-0.038846,0.091348,0.254549
259,0.308233,0.105626,0.234004,-0.033756,0.055827,0.170128
260,0.462848,0.07375,0.124362,0.009319,0.036748,0.091207
261,-0.202876,0.174069,0.244203,0.003267,0.011381,0.169188
262,0.106446,0.117182,0.270731,0.092362,0.034544,0.183534
263,-0.147693,-0.333349,0.052391,0.087547,0.023244,0.121837
264,-0.091834,-0.161598,-0.135945,0.063687,-0.043882,0.025751
265,-0.017576,0.070449,-0.07554,0.10844,0.049718,-0.022188
266,-0.126103,0.12078,0.216203,0.085328,0.150027,0.12729
267,-0.030999,0.20436,0.107615,0.179379,0.132719,0.161815
268,0.024214,0.235146,0.147997,0.053071,0.116741,0.217401
269,-0.066847,0.312585,0.131132,0.176497,0.221318,0.313267
270,0.202852,0.056935,0.488164,0.034427,0.089076,0.312899
271,-0.172775,-0.286969,0.342681,0.010776,-0.010019,0.260109
272,0.521216,-0.148347,0.252498,-0.040698,-0.080025,0.175508
273,-0.167104,0.023805,0.216149,-0.076827,-0.03865,0.119376
274,-0.168684,-0.285943,0.127255,-0.183087,-0.122375,0.069585
275,-0.540055,-0.262458,-0.296629,-0.280986,-0.357149,-0.272197
276,0.091241,-0.114217,-0.415247,-0.249977,-0.250476,-0.398871
277,0.12034,-0.404559,-0.574563,-0.10356,-0.423589,-0.531807
278,0.122323,-0.765258,-0.321219,0.06294,-0.305691,-0.584693
279,-0.288004,-0.439586,-0.556142,-0.018644,-0.247873,-0.611733
280,0.168103,0.380521,-0.478573,0.125969,0.097593,-0.432193
281,0.079592,0.061537,-0.078986,0.303878,0.143518,-0.125535
282,0.556632,-0.133509,-0.048353,0.264161,0.164113,0.052734
283,0.717469,0.519161,0.435338,0.55563,0.333874,0.284887
284,0.616055,0.311847,0.41163,0.596967,0.309844,0.477737
285,0.140855,0.512211,0.745088,0.62813,0.34647,0.694979
286,0.370033,0.418452,0.985627,0.566716,0.376908,0.879029
287,0.4539,0.418799,0.930876,0.316348,0.350015,0.892399
288,0.38306,0.265763,0.861318,0.140483,0.211311,0.851871
289,0.278918,0.310507,0.729827,0.057084,0.205884,0.728747
290,-0.307721,0.389274,0.60099,0.010681,0.047659,0.606634
291,0.09781,0.079941,0.438496,0.037499,-0.06571,0.496166
292,0.243153,-0.447086,0.157048,0.04005,-0.210035,0.201996
293,-0.296854,-0.049671,0.253012,0.034813,-0.11667,0.105053
294,0.026952,0.144003,0.112668,0.028533,-0.027219,0.123522
295,-0.030662,0.023969,-0.129732,-0.08543,-0.156436,-0.051153
296,-0.108149,-0.032113,-0.107779,-0.047996,0.031878,-0.056149
297,-0.663799,-0.067728,-0.156442,-0.293366,-0.24247,-0.266479
298,-0.384942,-0.118853,-0.336662,-0.319802,-0.258015,-0.404222
299,-0.384458,0.266105,-0.424831,-0.318997,-0.119772,-0.480864
300,-0.402943,-0.236498,-0.62389,-0.373329,-0.123997,-0.598138
301,-0.409721,-0.216962,-0.558377,-0.297027,-0.140851,-0.615714
302,-0.197099,-0.211113,-0.558209,-0.108497,-0.165195,-0.493853
303,-0.128131,-0.31989,-0.564764,-0.12019,-0.246356,-0.538803
304,-0.127305,-0.396596,-0.488915,-0.215796,-0.263092,-0.585896
305,-0.199543,-0.649762,-0.47733,-0.138658,-0.23536,-0.564758
306,-0.090971,-0.041967,-0.513716,-0.009041,0.023238,-0.415525
307,0.146677,-0.082596,-0.477227,0.128206,-0.137999,-0.391674
308,-0.355499,-0.122455,-0.34954,0.028685,-0.048472,-0.360411
309,0.104607,0.457049,-0.03899,0.0092,0.166742,-0.211604
310,0.049547,0.077048,-0.309601,0.04966,0.075042,-0.118044
311,0.053234,0.289596,0.048693,0.045295,0.095942,0.02086
312,0.397652,0.179798,0.019954,0.205505,0.140585,0.157559
313,-0.320695,0.206426,0.164834,0.069868,0.082465,0.228267
314,-0.245289,0.149123,0.274005,0.149478,0.107237,0.310448
315,0.238368,0.434049,0.371862,0.183607,0.228731,0.413913
316,0.128253,0.195244,0.250583,0.129677,0.186853,0.303963
317,0.189033,-0.150498,0.076259,0.154997,-0.224916,0.075539
318,0.092249,0.045647,-0.018933,0.184675,-0.009303,0.034593
319,0.227868,0.117659,-0.043322,0.094997,0.160902,0.102923
320,0.496317,0.233943,0.329283,0.309789,0.173196,0.251296
321,0.537294,0.567008,0.430231,0.440498,0.23185,0.354944
322,0.33331,0.187447,0.491134,0.385475,0.228006,0.406817
323,-0.100193,0.199107,0.34996,0.321345,0.136187,0.504034
324,0.446518,0.316282,0.550152,0.292671,0.127615,0.52026
325,0.530062,0.382242,0.596565,0.285716,0.211204,0.528968
326,0.281898,0.263723,0.461017,0.152986,0.261966,0.564137
327,-0.179925,-0.183343,0.561679,-0.003997,0.174165,0.560761
328,-0.02191,0.140536,0.473943,-0.156669,0.06303,0.48557
329,0.068543,-0.269277,0.513567,-0.103563,0.063644,0.329352
330,0.25166,0.20402,0.411536,-0.060103,-0.016471,0.219086
331,-0.142259,0.175002,0.179935,0.032963,0.149581,0.34637
332,0.115857,0.262112,0.632435,0.161147,0.112161,0.383042
333,0.371169,-0.000604,0.333149,0.221715,0.134713,0.424672
334,0.293401,-0.086872,0.530726,0.281919,0.146004,0.432659
335,-0.011186,0.23919,0.585821,0.21228,0.200077,0.488771
336,0.307996,0.229528,0.435004,0.225073,0.234568,0.534573
337,0.393923,0.164894,0.590196,0.27819,0.238625,0.540869
338,0.412194,0.200318,0.511917,0.394602,0.187619,0.52267
339,0.294554,0.482011,0.559753,0.250637,0.066896,0.50432
340,0.146447,0.1844,0.526757,0.198188,0.059221,0.503689
341,0.508013,0.282347,0.64801,0.212357,0.124923,0.528376
342,0.072596,0.054077,0.426309,0.252735,-0.072514,0.418769
343,-0.108024,0.192101,0.304975,0.00944,-0.029819,0.321762
344,0.115247,0.109258,0.468649,0.11305,0.137769,0.359043
345,0.227499,-0.175301,0.395676,0.051708,0.132913,0.337637
346,-0.253076,0.150702,0.414177,0.046398,0.17899,0.340995
347,-0.139733,0.315693,0.28003,0.122326,0.193933,0.346488
348,-0.200063,0.083598,0.333791,0.207483,0.229068,0.438318
349,0.117042,0.035309,0.319981,0.110503,0.061764,0.376754
350,-0.069949,-0.122332,0.282655,0.153712,-0.018567,0.344737
351,-0.062745,0.199864,0.350005,0.014165,-0.025441,0.271385
352,0.389537,0.039145,0.403123,0.257261,-0.073274,0.305524
353,0.118211,0.176167,0.323346,0.24652,0.078436,0.338859
354,0.312597,0.196992,0.592025,0.26634,0.103752,0.448933
355,0.134192,0.21773,0.614246,0.194059,0.223317,0.477399
356,0.303051,0.084684,0.490261,0.168628,0.055051,0.465921
357,0.391303,-0.069105,0.394296,0.296278,0.108673,0.476485
358,0.016802,-0.250003,0.529105,0.155188,0.077964,0.371568
359,0.014651,0.098687,0.404867,0.048382,0.076175,0.410969
360,0.533213,0.125367,0.516434,0.324465,0.076768,0.503817
361,0.395069,0.299567,0.51309,0.316393,0.118177,0.547051
362,0.011553,0.393112,0.46514,0.290946,0.157412,0.554119
363,0.253164,0.196455,0.333979,0.12204,-0.039044,0.480843
364,-0.134756,-0.204185,0.437579,0.082166,-0.054481,0.374293
365,0.435945,-0.016011,0.237394,0.153443,0.036829,0.315734
366,0.465548,0.326601,0.762689,0.260728,0.254551,0.456736
367,0.389998,0.730864,0.55523,0.332021,0.351078,0.663837
368,0.391676,0.565457,0.675082,0.360229,0.343442,0.80082
369,0.172666,0.474045,0.819841,0.214472,0.306135,0.768827
370,0.24927,0.259326,0.991464,0.113565,0.317494,0.838533
371,0.176793,0.074384,0.773294,0.250949,0.206864,0.766836
372,0.248924,0.292514,0.802093,0.20181,0.174178,0.744869
373,0.469384,-0.025638,0.557872,0.294997,0.139461,0.742227
374,0.054273,0.128987,0.641889,0.166635,0.164753,0.70964
375,-0.048249,0.064074,0.506785,0.07499,0.08129,0.614146
376,-0.198398,0.468859,0.419946,0.040475,0.229922,0.609451
377,-0.200856,-0.144377,0.41137,0.012038,-0.091173,0.399672
378,-0.381152,-0.484701,0.102039,-0.015473,-0.118814,0.326321
379,0.115546,0.135979,0.155995,-0.030419,0.060312,0.288214
380,0.338128,-0.090673,0.179401,-0.023655,0.01418,0.23312
381,0.435656,-0.173299,-0.056439,0.15059,-0.179694,0.02669
382,-0.244003,-0.077036,0.079726,0.081214,-0.06403,0.040085
383,0.265372,-0.075375,0.120499,0.120401,-0.034319,0.089941
384,0.495802,0.183212,0.284072,0.211381,0.06466,0.194692
385,0.126145,-0.188496,0.330101,0.217507,0.041434,0.254863
386,0.227107,0.005344,0.474431,0.206818,0.082896,0.36035
387,-0.46053,-0.0154,0.157941,-0.058951,-0.118006,0.158133
388,-0.036035,-0.203391,0.007972,-0.089382,-0.111278,-0.022375
389,-0.391672,-0.436732,0.022625,-0.17896,-0.195411,-0.028526
390,0.059037,-0.032864,-0.089586,0.01911,-0.133147,-0.103752
391,-0.409962,-0.118239,-0.291461,-0.097721,-0.286703,-0.251741
392,-0.079162,-0.214906,-0.456273,-0.187734,-0.208157,-0.423028
393,-0.040256,-0.45689,-0.532281,-0.245158,-0.162763,-0.450525
394,-0.335531,-0.161204,-0.444853,-0.178895,-0.267099,-0.487015
395,-0.468411,-0.391555,-0.519036,-0.241027,-0.142572,-0.509635
396,-0.785767,-0.162955,-0.631307,-0.354563,-0.209274,-0.564989
