t,state,observation,A,C,Q,R
122,-1.1263609558869483,-0.8574475082083474,0.9,1.0,1.0,1.0
123,0.34546271494218295,-0.27420321918643065,0.9,1.0,1.0,1.0
124,1.1460276893625432,1.6171639827624724,0.9,1.0,1.0,1.0
125,1.388295979575798,0.8548436324110736,0.9,1.0,1.0,1.0
126,2.71276927283778,2.301130950621571,0.9,1.0,1.0,1.0
127,1.2527292912311512,2.6153719310344923,0.9,1.0,1.0,1.0
128,0.4877048293582883,-0.5528812231541448,0.9,1.0,1.0,1.0
129,-0.4876415949830654,-2.9004219259125557,0.9,1.0,1.0,1.0
130,-0.8286872386405268,0.7822497563713675,0.9,1.0,1.0,1.0
131,-2.122504662332783,0.42682329027421995,0.9,1.0,1.0,1.0
132,-1.2751032492851004,-1.6803725147344322,0.9,1.0,1.0,1.0
133,-1.3698156214553636,-3.306653662075549,0.9,1.0,1.0,1.0
134,-2.703640353812485,-3.014124330008429,0.9,1.0,1.0,1.0
135,-3.448855399638778,-3.7350783494794473,0.9,1.0,1.0,1.0
136,-2.790456012224705,-2.980379853246962,0.9,1.0,1.0,1.0
137,-1.6732838431078534,-2.7866718850297016,0.9,1.0,1.0,1.0
138,0.4907754328947185,1.0703365753711958,0.9,1.0,1.0,1.0
139,3.3555603556125764,3.8800677308986624,0.9,1.0,1.0,1.0
140,3.4344137533273154,1.9400081335080088,0.9,1.0,1.0,1.0
141,2.10143425796272,2.800630989657608,0.9,1.0,1.0,1.0
142,-0.2407554485648613,1.8119295333810297,0.9,1.0,1.0,1.0
143,0.05103155863546063,0.2229918910725205,0.9,1.0,1.0,1.0
144,-0.7670126925384114,-1.1043378546069174,0.9,1.0,1.0,1.0
145,-1.1056686834642555,-1.247671897871777,0.9,1.0,1.0,1.0
146,-1.607198614177638,-0.9919418472090767,0.9,1.0,1.0,1.0
147,-1.5872696391762595,-3.3179412446834777,0.9,1.0,1.0,1.0
148,-0.36256244447099006,-0.19817174149368783,0.9,1.0,1.0,1.0
149,-0.16925763257854642,-0.5597215820413566,0.9,1.0,1.0,1.0
150,-0.31096670635938006,1.5368583065966654,0.9,1.0,1.0,1.0
151,-1.3155237885492537,-1.4896965223542116,0.9,1.0,1.0,1.0
152,-2.858654354398685,-1.1907667432791653,0.9,1.0,1.0,1.0
153,-3.0590968280321476,-4.162837525814155,0.9,1.0,1.0,1.0
154,-2.806969696047253,-2.2197105292444608,0.9,1.0,1.0,1.0
155,-0.758342812862645,-0.4389425490714162,0.9,1.0,1.0,1.0
156,-0.5522340101034947,-1.421281257968277,0.9,1.0,1.0,1.0
157,0.4857289019299123,0.6631250165668527,0.9,1.0,1.0,1.0
158,-0.06213958680223097,1.1503792500293695,0.9,1.0,1.0,1.0
159,-1.2408693945390326,-1.5646610988256333,0.9,1.0,1.0,1.0
160,-2.0818992173175013,-3.7738618664872643,0.9,1.0,1.0,1.0
161,-2.5989353601215046,-2.6164981865989505,0.9,1.0,1.0,1.0
162,-0.21057209167418955,-1.1129951864667023,0.9,1.0,1.0,1.0
163,-1.0109015617311568,-1.353242500395039,0.9,1.0,1.0,1.0
164,-0.07132220182169613,-0.15290997150681712,0.9,1.0,1.0,1.0
165,-0.9671171597265529,-2.67276937574207,0.9,1.0,1.0,1.0
166,0.06116756912034649,-1.5544907702003314,0.9,1.0,1.0,1.0
167,0.440001778314175,0.9220686138397003,0.9,1.0,1.0,1.0
168,0.2393637028246671,-0.28335499334501324,0.9,1.0,1.0,1.0
169,0.17466480640676638,-2.390079535413801,0.9,1.0,1.0,1.0
170,-0.4975893696633007,0.28725466694483437,0.9,1.0,1.0,1.0
171,-0.0017582312148901047,0.27061152405934974,0.9,1.0,1.0,1.0
172,-0.4565658884341811,-1.170440712470665,0.9,1.0,1.0,1.0
173,-1.6365150633580112,-2.953345274416253,0.9,1.0,1.0,1.0
174,-2.7508011313418295,-1.9149932350274923,0.9,1.0,1.0,1.0
175,-2.303133100485527,-1.9537824779250972,0.9,1.0,1.0,1.0
176,-0.49372853402653916,1.8888737486575342,0.9,1.0,1.0,1.0
177,-0.28436406705044703,0.13582453167449032,0.9,1.0,1.0,1.0
178,-0.3745659864552849,0.013137154806729945,0.9,1.0,1.0,1.0
179,-0.05128324820721353,-0.21821117831577866,0.9,1.0,1.0,1.0
180,1.2598468183203326,2.076622685521124,0.9,1.0,1.0,1.0
181,1.3532446378521559,1.9783298391003097,0.9,1.0,1.0,1.0
182,0.8069929432332031,2.058717951798398,0.9,1.0,1.0,1.0
183,1.8325823589697716,1.3112594403324869,0.9,1.0,1.0,1.0
184,2.078080561534408,1.6426730885904455,0.9,1.0,1.0,1.0
185,3.4060284973769592,2.9269253264649793,0.9,1.0,1.0,1.0
186,3.2486600848611698,4.039461806040159,0.9,1.0,1.0,1.0
187,1.6993250446545527,3.1976994849512845,0.9,1.0,1.0,1.0
188,0.16123334094343256,-0.2976071522058681,0.9,1.0,1.0,1.0
189,1.796037939080339,1.3712642112872477,0.9,1.0,1.0,1.0
190,3.340099865955602,3.654177089825401,0.9,1.0,1.0,1.0
191,2.8265706660774415,2.5808091660645402,0.9,1.0,1.0,1.0
192,2.1607262783337093,3.1127799314735993,0.9,1.0,1.0,1.0
193,3.406097942742541,1.154320652123494,0.9,1.0,1.0,1.0
194,1.9584424664247988,1.1317374195079042,0.9,1.0,1.0,1.0
195,0.8678712008264925,0.08545486686504666,0.9,1.0,1.0,1.0
196,1.4244108754328877,-0.8959451369532572,0.9,1.0,1.0,1.0
197,0.8873646650300094,-0.07627377933879464,0.9,1.0,1.0,1.0
198,0.7935063318069372,-0.12164978403898896,0.9,1.0,1.0,1.0
199,0.550712800101731,0.34960814558290065,0.9,1.0,1.0,1.0
200,0.8332160688904915,1.946181960550755,0.9,1.0,1.0,1.0
201,2.1573763233151593,1.912315672124457,0.9,1.0,1.0,1.0
202,2.032223597885389,1.001409877614235,0.9,1.0,1.0,1.0
203,2.472940031373708,2.415985490160179,0.9,1.0,1.0,1.0
204,0.17547392720531452,1.224647548646664,0.9,1.0,1.0,1.0
205,0.10920813255466513,-0.8667506835602398,0.9,1.0,1.0,1.0
206,-0.7449429509936725,-1.6555178349151212,0.9,1.0,1.0,1.0
207,-1.8892617163179333,-1.3307127570437098,0.9,1.0,1.0,1.0
208,-2.5784879116148907,-2.800024027345691,0.9,1.0,1.0,1.0
209,-2.654762561154214,-2.0072778704447396,0.9,1.0,1.0,1.0
210,-1.4733837626827797,-1.4870305544780764,0.9,1.0,1.0,1.0
211,-2.652438104154066,-1.9507744560644988,0.9,1.0,1.0,1.0
212,-2.356562801144242,-3.3916409151848828,0.9,1.0,1.0,1.0
213,-2.605075954363396,-2.6171606051516636,0.9,1.0,1.0,1.0
214,-2.6722414532890175,-2.8829314676521745,0.9,1.0,1.0,1.0
215,-1.402259482655512,-2.618150406759643,0.9,1.0,1.0,1.0
216,-0.7239180973860346,-2.287396045254723,0.9,1.0,1.0,1.0
217,0.6858718197953125,1.3716208550699744,0.9,1.0,1.0,1.0
218,0.4627789585658808,0.11182657634790272,0.9,1.0,1.0,1.0
219,-0.2794415489614103,-1.30172183060874,0.9,1.0,1.0,1.0
220,-0.4753562109457688,-0.5715351478691011,0.9,1.0,1.0,1.0
221,-0.18532379857997033,0.9426950587693324,0.9,1.0,1.0,1.0
222,0.009781939731737715,-2.2709559056401853,0.9,1.0,1.0,1.0
223,-1.0755843264748026,-2.5722230163781292,0.9,1.0,1.0,1.0
224,-0.8775361121994482,-1.8004225540947156,0.9,1.0,1.0,1.0
225,-0.5615541708405982,0.8996246958797307,0.9,1.0,1.0,1.0
226,2.012075283777382,2.2946622666966783,0.9,1.0,1.0,1.0
227,3.687712366681314,4.455029607142541,0.9,1.0,1.0,1.0
228,2.4656977794543624,1.325536860328132,0.9,1.0,1.0,1.0
229,1.9317446399597502,0.812208764689224,0.9,1.0,1.0,1.0
230,0.27512817412677215,0.7229418908494826,0.9,1.0,1.0,1.0
231,-0.3430916572493915,-0.28481732631394496,0.9,1.0,1.0,1.0
232,0.006822512065888131,0.5555613309300147,0.9,1.0,1.0,1.0
233,1.2119938817475329,1.0243228908190807,0.9,1.0,1.0,1.0
234,0.36171065582917106,0.6398543822837981,0.9,1.0,1.0,1.0
235,-0.3286068498215426,-0.17048776491643342,0.9,1.0,1.0,1.0
236,-2.443035194578043,-1.6652678054931176,0.9,1.0,1.0,1.0
237,-2.3613975956651463,-1.5543893137206757,0.9,1.0,1.0,1.0
238,-3.1876722479581945,-4.807544242349964,0.9,1.0,1.0,1.0
239,-3.3983444505284486,-5.645613005869304,0.9,1.0,1.0,1.0
240,-3.935370783643192,-2.933625385991685,0.9,1.0,1.0,1.0
241,-3.6360962595314295,-2.448371166269493,0.9,1.0,1.0,1.0
242,-5.030215024934918,-6.0508380444482555,0.9,1.0,1.0,1.0
243,-5.994238767832417,-7.854074174378046,0.9,1.0,1.0,1.0
244,-3.265567779020878,-3.166532958013677,0.9,1.0,1.0,1.0
245,-4.226433582392821,-3.2955953560422917,0.9,1.0,1.0,1.0
246,-4.900575802608179,-3.1029812801738643,0.9,1.0,1.0,1.0
247,-2.5736046940260477,-2.057307121924597,0.9,1.0,1.0,1.0
248,0.5888229446169637,0.21710624803126877,0.9,1.0,1.0,1.0
249,-0.6416259786700743,-1.534756600254937,0.9,1.0,1.0,1.0
250,-0.9457123375910974,-0.934261045920443,0.9,1.0,1.0,1.0
251,-0.5095855528914781,-0.8088502567767345,0.9,1.0,1.0,1.0
252,1.270070646803262,0.255002741074446,0.9,1.0,1.0,1.0
253,0.15620650369469857,2.204962154557985,0.9,1.0,1.0,1.0
254,-0.10469199261688103,1.68047640945525,0.9,1.0,1.0,1.0
255,0.6831147827065511,1.8191634662619796,0.9,1.0,1.0,1.0
256,1.0495693789025147,0.12871898109338709,0.9,1.0,1.0,1.0
257,0.5684563697821641,1.4234756940794429,0.9,1.0,1.0,1.0
258,0.3777877682879065,1.0174141777858083,0.9,1.0,1.0,1.0
259,-1.034886816910866,-0.5923411927068131,0.9,1.0,1.0,1.0
260,-1.1695718791944447,0.0800933878493324,0.9,1.0,1.0,1.0
261,-1.3190021812839554,-0.683631038422678,0.9,1.0,1.0,1.0
262,-0.954932073529304,-0.2149178372249685,0.9,1.0,1.0,1.0
263,-1.4147660849953896,-0.7778598016231795,0.9,1.0,1.0,1.0
264,-0.8017509539507117,-0.46095954594860583,0.9,1.0,1.0,1.0
265,0.291139959264188,-1.4924711704499956,0.9,1.0,1.0,1.0
266,0.41745529100623524,0.5010763684167925,0.9,1.0,1.0,1.0
267,0.7274661703048152,0.17127421145569,0.9,1.0,1.0,1.0
268,0.7078749008522011,-0.5719660567878194,0.9,1.0,1.0,1.0
269,0.6371718038583951,2.318988423159219,0.9,1.0,1.0,1.0
270,-0.14810341007029182,1.5808919308154117,0.9,1.0,1.0,1.0
271,0.1832011926100454,1.5424217929056574,0.9,1.0,1.0,1.0
272,0.06759447493555137,0.322807891791426,0.9,1.0,1.0,1.0
273,2.154003336372591,3.5046284573252477,0.9,1.0,1.0,1.0
274,3.5119579052105747,3.5240110858124,0.9,1.0,1.0,1.0
275,3.5466086672460184,3.7494059441437977,0.9,1.0,1.0,1.0
276,2.428890590826649,1.335419220364666,0.9,1.0,1.0,1.0
277,1.073590059760566,1.470581364259406,0.9,1.0,1.0,1.0
278,2.1573740068733747,2.2177599352977917,0.9,1.0,1.0,1.0
279,2.204385831333176,0.9017337144987114,0.9,1.0,1.0,1.0
280,2.4640906515914693,2.4128935397748723,0.9,1.0,1.0,1.0
281,0.47309559945812985,0.3933660356013214,0.9,1.0,1.0,1.0
282,1.3532245210704976,3.1507856877151377,0.9,1.0,1.0,1.0
283,1.6723224071778109,2.5665357356912204,0.9,1.0,1.0,1.0
284,0.3946594820455518,0.4061049211370178,0.9,1.0,1.0,1.0
285,-0.11633127360895235,0.13245603619213064,0.9,1.0,1.0,1.0
286,0.15901905810846245,0.20323143621266052,0.9,1.0,1.0,1.0
287,0.19558395065385983,-0.007330034141687897,0.9,1.0,1.0,1.0
288,-0.11614563021508115,-1.198572827603368,0.9,1.0,1.0,1.0
289,-0.2080193352595339,-0.35907121286646315,0.9,1.0,1.0,1.0
290,-0.43919477994046585,-1.1852930365929792,0.9,1.0,1.0,1.0
291,-0.24271278984395073,-1.4930283287670971,0.9,1.0,1.0,1.0
292,1.2530504621336014,1.764272276681136,0.9,1.0,1.0,1.0
293,-1.4389130250110562,-1.0476483650778212,0.9,1.0,1.0,1.0
294,-1.531871987019635,-3.318579498387713,0.9,1.0,1.0,1.0
295,-1.2021723669452244,-1.3248570044403516,0.9,1.0,1.0,1.0
296,-0.7859611405636024,0.20974024533632107,0.9,1.0,1.0,1.0
297,-1.079279607828532,-0.02005586893221123,0.9,1.0,1.0,1.0
298,-2.7280734295242617,-1.702236586639023,0.9,1.0,1.0,1.0
299,-2.1272706028577257,-2.088357395956266,0.9,1.0,1.0,1.0
300,-0.18719332840776826,-1.0322386563769195,0.9,1.0,1.0,1.0
301,-1.702335400483129,-2.7860342278411894,0.9,1.0,1.0,1.0
302,-0.6682738467366279,-0.32366894198627044,0.9,1.0,1.0,1.0
303,-0.929971685185859,-0.550691650820696,0.9,1.0,1.0,1.0
304,-0.8982988624961205,0.38903224910894496,0.9,1.0,1.0,1.0
305,-1.8613674869504573,-0.7613878366083737,0.9,1.0,1.0,1.0
306,-2.0096869106112885,-2.1419155671424606,0.9,1.0,1.0,1.0
307,-0.5086736248512012,-1.7528795037120706,0.9,1.0,1.0,1.0
308,0.12484897962162594,-0.19425761738927189,0.9,1.0,1.0,1.0
309,1.8446756870694074,2.061906881879932,0.9,1.0,1.0,1.0
310,2.8376200073401603,2.6355367619507564,0.9,1.0,1.0,1.0
311,2.9929446855357207,2.415050577458065,0.9,1.0,1.0,1.0
312,4.437584743149941,4.6904695581198395,0.9,1.0,1.0,1.0
313,4.4328194275732455,3.928861686162635,0.9,1.0,1.0,1.0
314,4.81752566161298,4.1894595778876065,0.9,1.0,1.0,1.0
315,4.039202141916975,4.350654976220414,0.9,1.0,1.0,1.0
316,3.7018277435844817,3.2998351634552767,0.9,1.0,1.0,1.0
317,2.6342211459257565,2.878325534904109,0.9,1.0,1.0,1.0
318,3.360382965928034,3.6335869887801566,0.9,1.0,1.0,1.0
319,1.846041046220365,0.7066120451287903,0.9,1.0,1.0,1.0
320,2.4437872840159898,1.9625461601505776,0.9,1.0,1.0,1.0
321,2.0087574981092313,3.4465344380256937,0.9,1.0,1.0,1.0
322,2.9791288417656276,1.8170493290313405,0.9,1.0,1.0,1.0
323,3.432084946320325,1.315430497349794,0.9,1.0,1.0,1.0
324,4.909522609335094,3.0476774560925826,0.9,1.0,1.0,1.0
325,5.149345039540229,5.178454986116899,0.9,1.0,1.0,1.0
326,3.0623702799329657,3.0932875579656645,0.9,1.0,1.0,1.0
327,2.6891800790414684,2.5715692236163474,0.9,1.0,1.0,1.0
328,1.2482548785425056,2.462444707471007,0.9,1.0,1.0,1.0
329,0.6051495483219804,-2.0676848847809577,0.9,1.0,1.0,1.0
330,2.055863026766504,2.4517969011973277,0.9,1.0,1.0,1.0
331,2.48781053498755,4.049248736791123,0.9,1.0,1.0,1.0
332,1.5400990529100487,0.4123182880183347,0.9,1.0,1.0,1.0
333,0.3723717811786449,-0.007434730611250218,0.9,1.0,1.0,1.0
334,0.3679166959370412,-0.38497522129157974,0.9,1.0,1.0,1.0
335,-0.8854351230377907,-1.7797811691153194,0.9,1.0,1.0,1.0
336,-1.4680318881305927,-1.7942938931536327,0.9,1.0,1.0,1.0
337,-1.0092192277662897,0.418266055918215,0.9,1.0,1.0,1.0
338,0.24701473111703542,2.084401406604556,0.9,1.0,1.0,1.0
339,0.8310747302297716,0.4951355051896239,0.9,1.0,1.0,1.0
340,-1.5433222513913054,0.3617379626731647,0.9,1.0,1.0,1.0
341,-1.084623297221915,-1.04904682023729,0.9,1.0,1.0,1.0
342,-0.9041273942671455,0.8495636324339355,0.9,1.0,1.0,1.0
343,-0.39982436946773786,-0.49312301912122963,0.9,1.0,1.0,1.0
344,1.2563677491302432,1.3874255751763875,0.9,1.0,1.0,1.0
345,-0.9325073025875239,-0.5670328299446894,0.9,1.0,1.0,1.0
346,-1.430359997519877,1.7484936818476582,0.9,1.0,1.0,1.0
347,-0.6964176749745348,0.1548678998702543,0.9,1.0,1.0,1.0
348,-2.2083703069310237,-2.915634836882487,0.9,1.0,1.0,1.0
349,-0.5115842281844125,0.4574136420914454,0.9,1.0,1.0,1.0
350,-0.09206919266531288,-0.45390172974965437,0.9,1.0,1.0,1.0
351,0.7637217124446224,0.27397152954341325,0.9,1.0,1.0,1.0
352,0.11640587967836558,1.0250072395704768,0.9,1.0,1.0,1.0
353,0.9185289816767396,0.9496145694478924,0.9,1.0,1.0,1.0
354,1.895147639498104,2.17372355400991,0.9,1.0,1.0,1.0
355,1.938510895685462,1.9524961175507545,0.9,1.0,1.0,1.0
356,1.9790606988156119,2.3156438254210467,0.9,1.0,1.0,1.0
357,2.0514978682157765,2.4764637656519257,0.9,1.0,1.0,1.0
358,0.9830028166548171,-0.9539641160505982,0.9,1.0,1.0,1.0
359,0.7371738547489826,1.403746523358516,0.9,1.0,1.0,1.0
360,0.5109339368217255,-0.4710854830085751,0.9,1.0,1.0,1.0
361,0.843234407493048,-0.5990647280663632,0.9,1.0,1.0,1.0
362,1.7587352136540377,1.7003239697953554,0.9,1.0,1.0,1.0
363,0.5243256103102247,0.608306613624679,0.9,1.0,1.0,1.0
364,0.3468840189596246,-0.34662214561265614,0.9,1.0,1.0,1.0
365,1.7936511647226354,2.62468302239061,0.9,1.0,1.0,1.0
366,0.8706978194378077,-0.4714773469330993,0.9,1.0,1.0,1.0
367,-0.03862197979629345,-0.4455657285688524,0.9,1.0,1.0,1.0
368,0.16754641001452947,-0.4173277249184712,0.9,1.0,1.0,1.0
369,0.9951769594983967,0.9485896891590573,0.9,1.0,1.0,1.0
370,0.9070853191092164,1.1859496037564552,0.9,1.0,1.0,1.0
371,2.145337377635284,1.1374444280117393,0.9,1.0,1.0,1.0
372,2.7875976224382826,3.5118802998945107,0.9,1.0,1.0,1.0
373,3.3506579270845163,3.413660295419216,0.9,1.0,1.0,1.0
374,3.569708635700158,1.6777623823882477,0.9,1.0,1.0,1.0
375,5.540390872476227,3.5817994320791957,0.9,1.0,1.0,1.0
376,4.781190096362559,4.768870803433248,0.9,1.0,1.0,1.0
377,2.2995487946597897,2.0785814768734356,0.9,1.0,1.0,1.0
378,3.6738482767109515,3.570428163136318,0.9,1.0,1.0,1.0
379,2.8487640180830307,2.820781561552813,0.9,1.0,1.0,1.0
380,2.6717680606177607,2.8973279001279413,0.9,1.0,1.0,1.0
381,3.7141419394165114,4.661791549264811,0.9,1.0,1.0,1.0
382,1.7404682044159352,0.629363303498377,0.9,1.0,1.0,1.0
